time,acc_x,acc_y,acc_z,time,gyro_x,gyro_y,gyro_z
10,0.152,5.638,8.38,10,0.198,-0.076,-0.128
20,0.082,5.218,8.644,20,0.25,-0.052,-0.146
30,-0.386,4.898,8.422,30,0.246,-0.024,-0.134
40,-0.766,5.164,8.192,40,0.17,-0.004,-0.122
50,-0.9,5.412,8.076,50,0.142,-0.004,-0.136
60,-0.702,5.548,8.046,60,0.216,-0.006,-0.172
70,-0.632,5.38,7.952,70,0.208,-0.034,-0.208
80,-0.438,5.262,8.004,80,0.016,-0.122,-0.178
90,-0.23,5.314,8.18,90,-0.344,-0.202,-0.086
100,-0.192,5.522,8.412,100,-0.71,-0.26,-0.12
110,-0.134,5.724,8.486,110,-0.838,-0.272,-0.214
120,-0.118,5.478,8.18,120,-0.718,-0.268,-0.252
130,-0.198,4.932,7.522,130,-0.51,-0.298,-0.234
140,-0.19,4.962,7.436,140,-0.29,-0.274,-0.126
150,-0.574,5.666,7.586,150,-0.132,-0.086,-0.022
160,-0.902,6.5,7.738,160,0.012,0.052,-0.138
170,-1.208,6.832,7.896,170,0.362,0.02,-0.224
180,-1.308,5.912,7.828,180,0.628,-0.086,-0.14
190,-0.652,4.978,8.026,190,0.74,-0.15,0.152
200,0.01,4.666,8.346,200,0.844,-0.046,0.318
210,1.046,4.736,8.55,210,0.828,0.086,0.092
220,2.364,5.14,8.7,220,0.46,0.004,0.152
230,1.734,5.194,8.5,230,-0.058,-0.086,0.03
240,-0.144,3.738,8.068,240,-0.32,-0.12,-0.032
250,-1.148,3.568,8.092,250,-0.368,-0.114,0.052
260,0.1,4.282,8.232,260,-0.256,-0.058,0.02
270,2.882,4.226,8.2,270,-0.068,-0.004,-0.034
280,1.724,4.934,8.532,280,0.102,-0.002,-0.034
290,-0.438,6.48,8.566,290,0.218,-0.022,-0.028
300,-2.28,6.788,8.652,300,0.214,-0.03,-0.032
310,-2.008,6.038,8.614,310,0.078,-0.042,-0.042
320,-0.262,5.238,8.462,320,-0.152,-0.056,-0.042
330,0.73,4.808,8.426,330,-0.394,-0.054,-0.034
340,0.784,4.622,8.51,340,-0.516,-0.062,-0.024
350,0.194,4.428,8.49,350,-0.466,-0.058,-0.018
360,-0.24,4.532,8.382,360,-0.338,-0.032,-0.004
370,-0.14,5.112,8.332,370,-0.248,-0.022,0.002
380,0.068,5.776,8.328,380,-0.206,-0.048,-0.012
390,0.176,6.306,8.174,390,-0.21,-0.058,-0.046
400,0.308,6.558,8.192,400,-0.29,-0.046,-0.03
410,0.226,6.152,8.344,410,-0.398,-0.038,-0.012
420,0.112,5.322,8.344,420,-0.436,-0.034,-0.006
430,0.236,4.8,8.338,430,-0.398,-0.034,0
440,0.216,4.696,8.312,440,-0.346,-0.04,-0.012
450,-0.146,4.894,8.274,450,-0.344,-0.054,-0.028
460,-0.334,5.35,8.296,460,-0.392,-0.068,-0.012
470,0.062,5.858,8.482,470,-0.404,-0.078,0.012
480,0.284,5.928,8.608,480,-0.342,-0.084,0.018
490,0.284,5.534,8.54,490,-0.22,-0.09,0.002
500,0.29,4.982,8.236,500,-0.138,-0.098,-0.024
510,0.226,4.732,8.006,510,-0.128,-0.12,-0.052
520,0.21,4.804,7.966,520,-0.176,-0.164,-0.05
530,0.244,4.892,8.096,530,-0.272,-0.198,-0.05
540,0.334,4.798,8.236,540,-0.394,-0.22,-0.048
550,0.412,4.48,8.262,550,-0.534,-0.23,-0.006
560,0.452,4.374,8.118,560,-0.592,-0.256,0.036
570,0.494,4.76,8.16,570,-0.484,-0.274,0.042
580,0.532,5.22,8.18,580,-0.282,-0.284,0.048
590,0.566,5.466,7.988,590,-0.03,-0.238,0.066
600,0.68,5.476,7.816,600,0.214,-0.18,0.042
610,0.836,5.472,7.776,610,0.346,-0.164,0.008
620,0.984,5.278,7.768,620,0.31,-0.166,0.012
630,0.966,4.696,7.858,630,0.18,-0.172,0.046
640,0.914,4.022,7.874,640,0.082,-0.18,0.108
650,0.956,3.654,8.056,650,0.14,-0.19,0.158
660,1.078,3.528,8.496,660,0.348,-0.186,0.188
670,1.018,3.786,8.922,670,0.626,-0.154,0.214
680,0.808,4.598,8.856,680,0.858,-0.12,0.244
690,0.932,5.708,8.774,690,1.032,-0.09,0.288
700,1.04,6.166,8.546,700,1.198,-0.058,0.316
710,1.106,5.754,8.328,710,1.374,-0.018,0.364
720,1.064,4.78,8.006,720,1.604,-0.008,0.41
730,1.086,3.798,7.834,730,1.912,-0.028,0.462
740,1.392,3.398,8.008,740,2.314,-0.042,0.536
750,1.648,3.688,8.318,750,2.802,-0.008,0.568
760,1.8,3.936,8.602,760,3.25,0.052,0.564
770,1.748,4.192,8.766,770,3.504,0.086,0.598
780,1.732,4.308,8.8,780,3.512,0.182,0.564
790,1.702,4.15,8.474,790,3.292,0.266,0.484
800,1.638,3.78,7.7,800,2.88,0.268,0.498
810,1.588,3.052,6.83,810,2.366,0.308,0.584
820,1.64,2.766,6.63,820,1.936,0.354,0.554
830,1.78,3.33,6.84,830,1.652,0.372,0.476
840,1.788,3.69,6.562,840,1.366,0.402,0.46
850,1.806,5.294,6.518,850,1.046,0.42,0.438
860,2.08,8.51,7.604,860,0.722,0.432,0.392
870,2.028,10.164,8.024,870,0.432,0.47,0.334
880,1.906,9.508,7.71,880,0.264,0.514,0.312
890,1.132,8.536,6.794,890,0.16,0.56,0.304
900,0.444,8.432,5.922,900,0.126,0.61,0.274
910,0.614,8.66,6.214,910,0.258,0.71,0.254
920,0.602,9.128,6.082,920,0.478,0.846,0.214
930,0.536,9.468,6.17,930,0.6,1.016,0.138
940,0.56,9.942,6.976,940,0.424,1.168,0.134
950,0.634,10.778,8.318,950,-0.21,1.302,0.098
960,0.44,10.598,7.916,960,-1.076,1.426,0.016
970,0.348,9.878,6.668,970,-1.734,1.492,-0.018
